id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_name,Number of moves in the opening phase
JvDT70AZ,True,88,resign,black,10+0,scooberftw,1768,shafara,1743,French Defense: Normal Variation,3
tYTLvHhZ,True,75,draw,draw,10+0,scooberftw,1766,marcusfontaine,1852,Sicilian Defense: Paulsen Variation |  Szen Variation,9
7nXvS6Sh,True,67,resign,white,15+0,jeronemo12345,1581,leo29392,1798,Queen's Gambit Refused: Chigorin Defense #2,5
zI7tlq3z,True,19,resign,white,8+0,jeronemo12345,1572,clayssoncps,1454,Queen's Pawn,2
UOM9lvpa,True,44,outoftime,black,10+0,cullarvega,1606,jeronemo12345,1571,Queen's Pawn Game: Chigorin Variation,4
9BmQJ0kS,True,53,resign,white,10+0,jeronemo12345,1563,alefmarques,1462,Queen's Gambit Declined: Queen's Knight Variation,5
vaB8meix,True,24,resign,black,10+0,darkgold,1468,jeronemo12345,1553,Queen's Gambit Declined,4
jrKn3d3J,True,90,resign,black,10+0,jeronemo12345,1562,gronen,1651,Queen's Gambit Declined: Three Knights Variation,7
rDgwtFEJ,True,14,resign,black,10+0,jeronemo12345,1570,zamis,1705,Queen's Gambit Refused: Chigorin Defense #3,6
ew4e0wrO,True,13,resign,black,15+0,xamio,913,tainamurilo,1058,King's Knight Opening: Normal Variation,4
bLk5i2Gh,True,39,resign,white,17+0,sonnyc,1154,xamio,920,Owen Defense,2
w6UyNCaq,True,40,resign,white,6+6,lancelot76,1417,xamio,921,Van Geet Opening: Reversed Nimzowitsch,2
NuErSoyu,True,58,resign,black,20+0,xamio,930,amerchan,1099,French Defense #2,2
s1nG5xfy,True,19,resign,white,10+8,tiger_snark,1208,xamio,936,Modern Defense,2
fmrk4Zij,True,21,resign,black,20+0,xamio,944,taras1814,1151,Four Knights Game: Scotch Variation,7
FFqcHmKC,True,14,resign,black,5+8,xamio,948,mentalist999,1271,Four Knights Game,6
b5N7z77e,True,45,resign,black,15+15,xamio,951,stroyprospekt,1367,Italian Game: Rosentreter Gambit,7
f1jjj2Et,True,24,resign,white,13+5,antipova92,1200,xamio,958,Sicilian Defense: Staunton-Cochrane Variation,3
DZsimp1h,True,3,resign,white,15+0,leptiantdu29,815,xamio,982,King's Knight Opening,3
p0R9zkIT,True,27,resign,black,5+8,xamio,999,wiseoldking,967,King's Pawn Game: Damiano Defense,4
Y37Qw9QN,True,7,mate,white,15+0,valen0k,1470,xamio,1001,Sicilian Defense: Bowdler Attack,3
ZdoDhyEV,True,49,mate,white,15+0,xamio,967,valen0k,1491,Three Knights Opening,5
myQRlURY,True,23,resign,white,15+0,valen0k,1490,xamio,969,Sicilian Defense,2
EL2fb7qC,True,28,resign,black,7+8,xamio,976,kschmidt4,1226,King's Gambit Accepted |  Schallopp Defense,6
LU9gpaJJ,True,9,mate,white,15+8,elboukak,1240,xamio,982,Sicilian Defense: Bowdler Attack,3
Qe5BZiYG,True,37,resign,white,15+0,eggleston,1421,xamio,985,Sicilian Defense: Hyperaccelerated Dragon,4
jScFAatr,False,48,mate,black,30+5,xamio,985,bas9840,1172,Scandinavian Defense,2
2IhmhnCN,False,25,mate,white,30+5,bas9840,1172,xamio,985,Englund Gambit,2
qe2ckEEw,True,20,resign,white,15+5,satnot,1299,xamio,991,King's Pawn Game: Wayward Queen Attack,3
a2b8WlfS,True,69,resign,white,10+2,xamio,967,tundrawanderer,1078,French Defense: Queen's Knight,3
bTU3UicY,True,53,resign,white,180+0,carlosz,1427,xamio,970,Italian Game: Two Knights Defense |  Knight Attack,7
ZfVrfVdt,True,62,mate,black,10+0,theflayer,1289,lawrenman,1732,French Defense: King's Indian Attack,3
EeZYQfn0,True,55,resign,white,10+0,arken,1940,lawrenman,1738,French Defense: La Bourdonnais Variation,3
YoyvBr0u,True,102,mate,black,10+0,morphyagain,1927,lawrenman,1718,French Defense: Knight Variation,3
BXhVGOGZ,True,57,resign,white,10+0,lawrenman,1706,winterfiyer,1700,Queen's Gambit Accepted: Old Variation,5
OekLT0Mu,True,41,outoftime,white,10+0,lawrenman,1696,rzarey,1623,Nimzo-Indian Defense #2,5
jJAyv4H2,True,41,mate,white,10+0,arken,1906,lawrenman,1702,French Defense: Knight Variation,3
AsDpeJqG,True,123,resign,white,10+0,lawrenman,1694,thorgamma_base,1545,Old Indian Defense,3
zSgU8l8d,True,73,outoftime,white,10+0,lawrenman,1685,apostador,1579,Queen's Gambit Refused: Albin Countergambit,4
UQsltTUV,True,45,resign,white,10+0,monteiro87,1957,lawrenman,1688,Semi-Slav Defense: Accelerated Move Order,6
Kf2xbRZA,True,75,resign,white,10+0,kasiv,1922,lawrenman,1693,French Defense: Rubinstein Variation |  Blackburne Defense,8
XuT1OFFF,True,77,mate,white,10+0,lawrenman,1692,jonathandoria,1219,Slav Defense,4
TtsLcVlP,True,123,resign,white,10+0,mileia,1840,lawrenman,1699,French Defense: Carlson Gambit,7
TRofzVSK,True,88,outoftime,black,10+0,lawrenman,1720,goldgamer777,1383,Rat Defense: English Rat |  Lisbon Gambit,6
AObvyEUG,True,75,resign,white,10+0,penguinnom,1716,lawrenman,1732,French Defense: Exchange Variation,5
J9wpsS4u,True,36,outoftime,black,10+0,lawrenman,1754,hpustela,1263,Horwitz Defense,2
RMRmTQZ5,True,45,resign,white,10+0,sputnik_monroe,2021,lawrenman,1759,French Defense: Exchange Variation,5
dpzPmEJM,True,97,mate,white,10+0,lawrenman,1740,topsi88,1920,Nimzo-Indian Defense: Normal Variation |  Huebner Deferred,10
e77vHHBZ,True,85,resign,white,10+0,arielmendezp,1695,lawrenman,1754,French Defense: Rubinstein Variation |  Blackburne Defense,8
bqczC9if,True,41,resign,white,10+0,lawrenman,1735,topsi88,1929,Nimzo-Indian Defense: Normal Variation |  Huebner Deferred,10
09a835pw,True,22,resign,black,10+0,wetcardboardbox,1615,lawrenman,1727,French Defense: La Bourdonnais Variation,3
PXuw1Nza,True,48,resign,black,10+0,lawrenman,1731,wqf7,1978,Nimzo-Indian Defense: Normal Variation |  Gligoric System |  Bernstein Defense,14
